sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,15,15,0,5.33,,
10021,6001,0,0,0,86.60,,
10024,6003,4,2,2,86.60,,
10025,1928.3,2,2,0,159.66,,
10026,6002,2,0,2,47.64,,
10027,1927.3,4,1,3,361.89,,
10030,9283.3,4,2,2,414.85,,
10341,X-10-M,9,5,4,38.46,,
10342,SS-1002,4,2,2,256.12,,
10345,SS-2000,2,2,0,441.77,,
10348,FN-201,3,2,1,372.82,,
10349,BN-202,3,1,2,430.96,,
10350,SP-5-B,0,0,0,909.95,,
10351,F-50,11,5,6,76.33,,
10352,SS-5000,4,1,3,801.42,,
10353,F-50W,9,4,5,76.33,,
10354,B-51,8,6,2,75.06,,
10355,S-53,7,3,4,75.06,,
10357,V-57W.2,8,4,4,78.24,,
10360,HF-742,5,2,3,226.19,,
10361,HF-743,8,3,5,226.19,,
10366,B-80,4,2,2,161.89,,
10367,B-81,4,2,2,161.89,,
10368,F-82,5,2,3,154.91,,
10369,F-83,27,14,13,154.91,,
10373,RU-90,6,2,4,138.67,,
10374,DNB-200,1,0,1,469.99,,
10377,DNP-200,0,0,0,540.16,,
10378,YB-500,0,0,0,1215.89,,
10391,220SW,12,9,3,33.33,,
10394,MMB-84,35,18,17,12.00,,
10442,SP-80-3,1,1,0,3026.80,,
10446,SRA-1,0,0,0,630.00,,
10472,SP-70-3,0,0,0,2606.80,,
10532,X-11Y,3,1,2,47.02,,
10533,FNW-201,1,1,0,339.99,,
10534,HF-742W,4,2,2,226.19,,
10535,HF-743W,7,3,4,226.19,,
10536,F-82W,5,3,2,154.91,,
10537,F-83W,2,0,2,154.91,,
10539,RA-91,4,2,2,75.06,,
10540,RA-93,8,7,1,75.06,,
10541,BN-C,4,1,3,28.50,,
10545,LL-C,0,0,0,34.29,,
10548,N-203-C,11,6,5,26.40,,
10549,NC-20,4,3,1,31.00,,
10550,GM-5-C,6,3,3,54.96,,
10552,010-10117-02,0,0,0,11.71,,
10563,010-10085-00,11,4,7,22.49,,
10578,010-10083-00,17,7,10,22.49,,
10595,390,0,0,0,534.99,,
10596,393,1,0,1,355.29,,
10597,396-1,8,3,5,141.19,,
10599,399-1M,10,5,5,264.44,,
10601,4018,0,0,0,572.75,,
10602,4018-M,0,0,0,528.91,,
10609,4351,7,5,2,74.46,,
10612,476,0,0,0,1150.24,,
10618,5018,16,8,8,558.56,,
10627,5206-N,255,132,123,69.04,,
10631,5215,14,8,6,61.55,,
10632,5215-C-X,7,2,5,128.92,,
10636,5225-XT,67,47,20,175.63,,
10637,5226-XT,20,11,9,175.63,,
10640,5230,6,2,4,454.75,,
10648,5911,0,0,0,59.73,,
10658,408-R,11,7,4,17.40,,
10660,410-R,8,1,7,74.45,,
10661,4186-BP,25,21,4,11.01,,
10662,4186-U,15,2,13,11.01,,
10663,4187,69,54,15,44.12,,
10668,4352,16,0,16,36.46,,
10673,4365,26,15,11,21.19,,
10679,5228,3,0,3,204.97,,
10680,5228-4,9,2,7,138.04,,
10682,81-S,0,0,0,59.51,,
10840,2100,6,2,4,56.83,,
10841,2101,3,0,3,48.97,,
10842,2300A,12,6,6,131.49,,
10844,2303A,10,6,4,178.83,,
10850,84-2056-01,5,3,2,138.79,,
11049,483,0,0,0,124.99,,
11123,740011-1,0,0,0,24.14,,
11188,SPC-15RP,13,7,6,22.86,,
11196,SPC-40RP,6,6,0,30.00,,
11197,SPC-5P,8,0,8,14.67,,
11221,MA4054W,112,54,58,29.99,,
11222,MA4055W,286,143,143,29.99,,
11223,MA4055B,191,113,78,24.99,,
11224,MA4056W,252,115,137,29.99,,
11225,MA4056B,159,81,78,29.99,,
11234,MA905W,288,176,112,39.99,,
11235,MB21W,195,98,97,12.99,,
11236,MB21B,365,202,163,11.99,,
11237,MB41W,220,105,115,18.99,,
11238,MB41B,69,31,38,19.99,,
11241,WC-3,93,53,40,8.99,,
11793,525TID-TMD,0,0,0,688.89,,
11794,235DT-PSE,0,0,0,500.00,,
11799,001-410-540,0,0,0,311.82,,
11800,PG500R,0,0,0,805.95,,
11804,520-IHD,3,2,1,181.82,199.00,
